1209;FT MHFT17 - EU-55;0.94;6
1214;PR MOR5STDRA - 54;0.92;1
1215;ME FYFFES 12.7 KGS.;0.7;1
1216;PR MSTDRA - 54;1;1
1219;PR FYFFES 3 LBS BAN;1;1
1223;PR YELLOW RAINFORES;1;1
1224;PR YELLOW RAINFORES ;1;1
1225;PR PAMELA BANANAS;1;1
1231;FT TROPY EU - 48;1;1
1233;PR FYFFES STDWR 54;1;1
1243;DARIEN BVC 54*;1;2
1253;PR ALDI RAINFOREST;0.94;1
1255;MIX TROPY RAINFORES 17 KLOS;0.94;1
1259;PR CHIQUITA RAC BANAVAC 54 REF ;1;1
1271;FT FT22X5 EU*;1;6
1278;MENOR ESPECIFICACION FYFFES 13 KL CLUSTER BAG;0.7;1
1285;PR DERBY BANANAS RA;1;1
1287;PR ORSERO EUROMINI 17 KGS;0.95;1
1290;FT PLUSFT5;1;1
1292;PR YELLOW RAINFOREST MOTTED;1;1
1298;FT JSFTIF17-55EU;0.94;1
1303;Menor Especificacion DEDO SUELTO 10 LBS.;0.25;2
1313;FT - MHFTF517 - 55 EU;0.94;1
1316;FT - DELMONTE - 54 EU;1;1
1320;Segunda BANAKING BVC - 54;1;1
1324;PR GOODFARMER 4 HANDS 13.5 K;0.74;1
1327;PR GOODFARMER 6 HANDS 13.5 K;0.74;1
1329;FT TROPY 17 KGS - 55 EU;0.94;1
1336;PR Bananas Kraft sin sello - 5;1;1
1339;Menor Especificacion ME BANANEN EVERY DAY;1;2
1341;Menor Especificacion - BANANAS 5 DEDOS;1;2
1342;Menor Especificacion ME SIMBARICA 6 DEDO;1;2
1345;PR BAHIA HD RAINFOREST;1;1
1351;Menor Especificacion YUMMYBAN UCRANIA BANANAS 54;1;2
1353;FT JS - FAIR TRADE 17K EU - 55;0.94;1
1354;FT JSFTX5 17 K EU -55;0.94;1
1355;FT JS FAIR TRADE 17K JSFTB13K;0.94;1
1359;Menor Especificacion - YUMMYBAN UCRANIA BA;1;2
1356;MHFT17-EU-55;0.94;1
1361;Menor Espicificacion - YUMMYBAN UCRANIA BANANAS 54;1;2
7200;Del Monte PB-EU DM-COVER PP;1;1
7210;Del Monte PB-EU DM-COVER B.BULK PP;1;1
7215;Del Monte PB-EU DM-COVER B.BULK BVC;1;1
7220;Del Monte EUROBOX-EU EEPB6 B.BULK;1;1
7225;Del Monte EUROBOX-EU EEPB6;1;1
7230;Del Monte PB-UK DM-COVER BVC;1;1
7235;Del Monte Premium Euromini;1;1
7240;Del Monte PB-DM-COVER BVC B.BULK;1;1
7245;Del Monte PB-EU DM-COVER BVC;1;1
7270;UTC PB-EU DM-COVER BVC;1;1
7275;UTC PB-EU DM-COVER PP;1;1
7280;UTC PB-EU DM-COVER B.BULK PP;1;1
7285;UTC Europeo Granel BVC;1;1
7300;Del Monte Premium Italiano;1;1
7330;UTC Italiano DM-Cover;1;1
8100; 5 A day USA;1;1
8118;Primera Normal Dole Extra SF-95 polypack Kilos 20;1;1
8123;Cluster Bag Dole BARE Cluster Bag Kilos 20;1;1
8124;Segunda Normal Dole Bajella polypack Kilos 20;1;2
8125;Primera Normal Dole first price Kilos 20;1;1
8127;Primera Normal Dole first price Kilos 21;1;1
8136;Primera Normal Dole Cabanita Polypack Kilos 20;1;1
9100;DM USA;1;1
9110;Rosy;1;1
9120;3 Lbs Bag;1;1
9135;U.T.C;1;1
9200;DM 27 BD Pallet Polypack;1;1
9210;DM GRANEL;1;1
9220;EUROBOX;1;1
9225;DM EUBOX-EU-EEPB-6;1;1
9230;DM PALLET;1;1
9245;DM PALLET BVC;1;1
9260;Rosy Pallet BVC;1;1
9270;U.T.C PALLET BVC;1;1
9275;U.T.C PALLET POLY P.;1;1
9280;U.T.C GRANEL;1;1
9300;DM Italiano;1;1
9330;UTC Mediterraneo Bvc Pallet;1;1
